Book_Category
Fiction
Science Fiction
Fantasy
Mystery
Thriller
Romance
Historical Fiction
Horror
Adventure
Crime
Biography
Autobiography
Self-Help
Personal Development
Business
Finance
Economics
Management
Marketing
Computer Science
Programming
Web Development
Data Science
Artificial Intelligence
Machine Learning
Cybersecurity
Networking
Database
Mathematics
Physics
Chemistry
Biology
Medicine
Health & Fitness
Psychology
Philosophy
History
Politics
Law
Education
Travel
Cooking
Poetry
Drama
Children's Books
Young Adult
Comics & Graphic Novels
Art
Music
Religion & Spirituality
Reference
